time,sentiment,contributors_active,contributors_created,posts_active,posts_created,interactions,social_dominance,open,close,high,low,volume_24h,market_cap,circulating_supply,galaxy_score,volatility,alt_rank
2024-02-11,83,319,89,574,152,101837,0.10718513898588668,0.3172024043,0.2960829431,0.3403634016893321,0.2960829430541044,32778139.33,295763224.67,998920172.89,39.0,0.0658,1032.0
2024-02-12,85,314,85,557,138,165094,0.10508700336014279,0.29612554319081763,0.3703241323,0.3761129393,0.2817693343,58852191.01,369924246.25,998920172.89,43.0,0.0726,60.0
2024-02-13,83,309,96,485,131,153551,0.10504588447551781,0.370076527,0.3703273631,0.4026300699296512,0.3656506341,54872791.28,369927473.54,998920172.89,51.0,0.1204,254.0
2024-02-14,83,316,99,477,135,123805,0.14297104012181014,0.37039601779784964,0.4389006987,0.4728888694,0.3621844838,60619959.12,438426761.8,998920172.89,41.0,0.0871,69.0
2024-02-15,77,274,50,441,66,124651,0.1936852461032373,0.4386222165,0.4058497267,0.47050874068491855,0.40169209447655246,51073413.06,405411479.21,998920172.89,34.0,0.0766,1000.0
2024-02-16,80,279,41,432,51,66968,0.21101477591891563,0.40594929326052354,0.3739388034,0.4195620125,0.3537118939,47951698.29,373535014.16,998920172.89,41.0,0.07,958.0
2024-02-17,80,231,46,357,68,87234,0.2204669947940147,0.3737577503,0.3847399023,0.38621461666336754,0.344508752,36714300.38,384324449.71,998920172.89,44.0,0.0468,158.0
2024-02-18,78,223,57,387,82,65574,0.11255300461263736,0.38516034649377245,0.4093553838,0.4443845954,0.3695271396,45955156.22,408913350.71,998920172.89,38.0,0.0641,160.0
2024-02-19,79,248,50,404,72,54917,0.11546981064665954,0.4093309868,0.3791560657,0.412547578,0.3754521419,34506693.76,378746642.7,998920172.89,42.0,0.0389,914.0
2024-02-20,83,270,47,422,63,106490,0.11059192888572081,0.3791559078,0.399525169,0.4029305003961027,0.3279009376,52628883.32,399093750.87,998920172.89,49.0,0.0481,77.0
2024-02-21,85,271,36,468,60,140537,0.14376466829681875,0.3994761574950729,0.3516659897,0.3994761575,0.3164386971,52060157.31,351286251.2,998920172.89,38.0,0.0558,1006.0
2024-02-22,89,223,41,340,45,85243,0.10765251036155413,0.3516634904,0.3051825815,0.3516634904,0.302088195,42754890.51,304853037.07,998920172.89,34.0,0.0587,1110.0
2024-02-23,88,208,49,311,55,23027,0.09807044043403264,0.3057440193,0.2971867736,0.3154248492,0.28306615758254844,43845829.47,296865863.23,998920172.89,31.0,0.0491,755.0
2024-02-24,89,190,32,308,53,80723,0.08777704630239193,0.2971824112,0.3410896172,0.3417763226,0.2870412497,37850663.8,340721299.38,998920172.89,56.0,0.0399,192.0
2024-02-25,88,230,52,371,70,52577,0.09713440416813938,0.3411462794,0.3490523455,0.3614783125,0.31351538295937975,32406541.66,348675429.35,998920172.89,47.0,0.0577,466.0
2024-02-26,86,234,87,419,150,96106,0.09250326189903237,0.3487858984,0.466492433,0.48870328218541936,0.3464992672297036,74318533.05,465988701.83,998920172.89,61.0,0.1147,84.0
2024-02-27,88,420,227,673,289,256802,0.12856490617436303,0.4665615545414654,0.6057495719,0.6723847586,0.4665615545,153913246.99,605095467.11,998920172.89,75.0,0.2008,49.0
2024-02-28,87,662,357,983,442,172336,0.191405633907031,0.6063257834,0.8708407421,0.8901700296,0.5958717459,247553037.19,869900384.69,998920172.89,50.0,0.1445,32.0
2024-02-29,86,671,208,1005,288,295762,0.30128428045519406,0.8719379081555708,0.8683691817,0.8879347131,0.7128613683484019,187809849.84,867431493.1,998920172.89,54.0,0.0929,604.0
